"filename", "language", "TypeScript React", "TypeScript", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/yemirhan/Developer/kamba/src/components/AddNewUserModal.tsx", "TypeScript React", 72, 0, 0, 0, 0, 3, 75
"/Users/yemirhan/Developer/kamba/src/components/Container/Container.module.css", "CSS", 0, 0, 88, 0, 0, 16, 104
"/Users/yemirhan/Developer/kamba/src/components/Container/Container.tsx", "TypeScript React", 76, 0, 0, 0, 1, 6, 83
"/Users/yemirhan/Developer/kamba/src/components/Container/index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"/Users/yemirhan/Developer/kamba/src/components/CreateNewWorkspace.tsx", "TypeScript React", 42, 0, 0, 0, 0, 2, 44
"/Users/yemirhan/Developer/kamba/src/components/DashboardHeader.tsx", "TypeScript React", 151, 0, 0, 0, 0, 18, 169
"/Users/yemirhan/Developer/kamba/src/components/DashboardNavbar.tsx", "TypeScript React", 104, 0, 0, 0, 0, 15, 119
"/Users/yemirhan/Developer/kamba/src/components/Item/Item.module.css", "CSS", 0, 0, 125, 0, 1, 20, 146
"/Users/yemirhan/Developer/kamba/src/components/Item/Item.tsx", "TypeScript React", 147, 0, 0, 0, 0, 8, 155
"/Users/yemirhan/Developer/kamba/src/components/Item/components/Action/Action.module.css", "CSS", 0, 0, 43, 0, 0, 8, 51
"/Users/yemirhan/Developer/kamba/src/components/Item/components/Action/Action.tsx", "TypeScript React", 30, 0, 0, 0, 1, 4, 35
"/Users/yemirhan/Developer/kamba/src/components/Item/components/Action/index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"/Users/yemirhan/Developer/kamba/src/components/Item/components/Handle/Handle.tsx", "TypeScript React", 18, 0, 0, 0, 1, 3, 22
"/Users/yemirhan/Developer/kamba/src/components/Item/components/Handle/index.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"/Users/yemirhan/Developer/kamba/src/components/Item/components/Remove/Remove.tsx", "TypeScript React", 17, 0, 0, 0, 0, 3, 20
"/Users/yemirhan/Developer/kamba/src/components/Item/components/Remove/index.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"/Users/yemirhan/Developer/kamba/src/components/Item/components/index.ts", "TypeScript", 0, 3, 0, 0, 0, 1, 4
"/Users/yemirhan/Developer/kamba/src/components/Item/index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"/Users/yemirhan/Developer/kamba/src/components/Logo.tsx", "TypeScript React", 16, 0, 0, 0, 0, 2, 18
"/Users/yemirhan/Developer/kamba/src/components/MultipleContainers.tsx", "TypeScript React", 641, 0, 0, 0, 22, 74, 737
"/Users/yemirhan/Developer/kamba/src/components/RouterTransition.tsx", "TypeScript React", 23, 0, 0, 0, 1, 5, 29
"/Users/yemirhan/Developer/kamba/src/components/ShellLayout.tsx", "TypeScript React", 48, 0, 0, 0, 0, 2, 50
"/Users/yemirhan/Developer/kamba/src/components/SplashFeatures.tsx", "TypeScript React", 113, 0, 0, 0, 0, 13, 126
"/Users/yemirhan/Developer/kamba/src/components/SplashFooter.tsx", "TypeScript React", 49, 0, 0, 0, 0, 9, 58
"/Users/yemirhan/Developer/kamba/src/components/SplashHeader.tsx", "TypeScript React", 274, 0, 0, 0, 0, 24, 298
"/Users/yemirhan/Developer/kamba/src/components/SplashHero.tsx", "TypeScript React", 78, 0, 0, 0, 0, 13, 91
"/Users/yemirhan/Developer/kamba/src/components/TableLayout.tsx", "TypeScript React", 69, 0, 0, 0, 0, 5, 74
"/Users/yemirhan/Developer/kamba/src/env/client.mjs", "JavaScript", 0, 0, 0, 27, 2, 7, 36
"/Users/yemirhan/Developer/kamba/src/env/schema.mjs", "JavaScript", 0, 0, 0, 24, 21, 4, 49
"/Users/yemirhan/Developer/kamba/src/env/server.mjs", "JavaScript", 0, 0, 0, 17, 5, 6, 28
"/Users/yemirhan/Developer/kamba/src/pages/_app.tsx", "TypeScript React", 38, 0, 0, 0, 1, 5, 44
"/Users/yemirhan/Developer/kamba/src/pages/_document.tsx", "TypeScript React", 17, 0, 0, 0, 0, 3, 20
"/Users/yemirhan/Developer/kamba/src/pages/alan/[slug].tsx", "TypeScript React", 14, 0, 0, 0, 0, 4, 18
"/Users/yemirhan/Developer/kamba/src/pages/alan/index.tsx", "TypeScript React", 7, 0, 0, 0, 0, 2, 9
"/Users/yemirhan/Developer/kamba/src/pages/api/auth/[...nextauth].ts", "TypeScript", 0, 111, 0, 0, 14, 8, 133
"/Users/yemirhan/Developer/kamba/src/pages/api/restricted.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"/Users/yemirhan/Developer/kamba/src/pages/api/trpc/[trpc].ts", "TypeScript", 0, 14, 0, 0, 1, 3, 18
"/Users/yemirhan/Developer/kamba/src/pages/auth/register.tsx", "TypeScript React", 113, 0, 0, 0, 0, 15, 128
"/Users/yemirhan/Developer/kamba/src/pages/auth/signin.tsx", "TypeScript React", 112, 0, 0, 0, 0, 11, 123
