"filename", "language", "JavaScript", "TypeScript React", "TypeScript", "CSS", "JSON with Comments", "JSON", "Prisma", "XML", "Markdown", "comment", "blank", "total"
"/Users/yemirhan/Developer/kamba/src/pages/alan/[slug].tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/yemirhan/Developer/kamba/src/pages/alan/index.tsx", "TypeScript React", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/yemirhan/Developer/kamba/src/pages/api/auth/[...nextauth].ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 14, 8, 133
"/Users/yemirhan/Developer/kamba/src/pages/api/restricted.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/yemirhan/Developer/kamba/src/pages/api/trpc/[trpc].ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 3, 18
"/Users/yemirhan/Developer/kamba/src/pages/auth/register.tsx", "TypeScript React", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 15, 128
"/Users/yemirhan/Developer/kamba/src/pages/auth/signin.tsx", "TypeScript React", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 11, 123
"/Users/yemirhan/Developer/kamba/src/pages/auth/verify-request.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/yemirhan/Developer/kamba/src/pages/index.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/yemirhan/Developer/kamba/src/pages/inventory/index.tsx", "TypeScript React", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/yemirhan/Developer/kamba/src/pages/invoices/index.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/yemirhan/Developer/kamba/src/pages/onboard.tsx", "TypeScript React", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
"/Users/yemirhan/Developer/kamba/src/pages/tables/index.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/yemirhan/Developer/kamba/src/pages/workspace/[workspaceId]/gorevler/index.tsx", "TypeScript React", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/yemirhan/Developer/kamba/src/pages/workspace/[workspaceId]/index.tsx", "TypeScript React", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 9, 116
"/Users/yemirhan/Developer/kamba/src/pages/workspace/[workspaceId]/kisiler/index.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 69
"/Users/yemirhan/Developer/kamba/src/pages/workspace/[workspaceId]/ozet/index.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/yemirhan/Developer/kamba/src/pages/workspace/index.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/yemirhan/Developer/kamba/src/pages/workspaces.tsx", "TypeScript React", 0, 148, 0, 0, 0, 0, 0, 0, 0, 1, 6, 155
"/Users/yemirhan/Developer/kamba/src/server/common/get-server-auth-session.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 2, 15
"/Users/yemirhan/Developer/kamba/src/server/db/client.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 5, 20
"/Users/yemirhan/Developer/kamba/src/server/trpc/context.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 8, 40
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/_app.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/auth.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/boards.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 2, 92
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/example.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/item.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 4, 136
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/profile.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/status.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"/Users/yemirhan/Developer/kamba/src/server/trpc/router/workspace.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 3, 57
"/Users/yemirhan/Developer/kamba/src/server/trpc/trpc.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 11, 7, 40
"/Users/yemirhan/Developer/kamba/src/styles/globals.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/yemirhan/Developer/kamba/src/types/next-auth.d.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 2, 18
"/Users/yemirhan/Developer/kamba/src/utils/getAuth.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/yemirhan/Developer/kamba/src/utils/trpc.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 8, 5, 43
"/Users/yemirhan/Developer/kamba/tailwind.config.cjs", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"/Users/yemirhan/Developer/kamba/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 9, 0, 30
"Total", "-", 96, 2804, 682, 259, 32, 12189, 124, 7, 17, 134, 475, 16819
